District,Building name,Last date of visit of the case(s),Related cases
Wan Chai,"Block B, Hay Wah Building",26/12/2022,
Wan Chai,"Block B, Villa Monte Rosa",26/12/2022,
Wan Chai,"Block E, Villa Monte Rosa",26/12/2022,
Wan Chai,Amber Garden,26/12/2022,
Wan Chai,"Block B, 111 Mount Butler Road",26/12/2022,
Wan Chai,"Block F, 111 Mount Butler Road",26/12/2022,
Wan Chai,Pak Shing Building,26/12/2022,
Wan Chai,"Block C, Bellevue Court",26/12/2022,
Wan Chai,Bellevue Heights,26/12/2022,
Wan Chai,"Tower 1, The Leighton Hill",26/12/2022,
Wan Chai,"Tower 8, The Leighton Hill",26/12/2022,
Wan Chai,Victoria Court,26/12/2022,
Wan Chai,"Block A, Viking Garden",26/12/2022,
Wan Chai,Miami Mansion,26/12/2022,
Wan Chai,Choi Ngar Yuen,26/12/2022,
Wan Chai,Johnston Building,26/12/2022,
Wan Chai,Welcome Mansion,26/12/2022,
Wan Chai,Wah Tao Building,26/12/2022,
Wan Chai,Lily Court,26/12/2022,
Wan Chai,Celeste Court,26/12/2022,
Wan Chai,Fontana Gardens,26/12/2022,
Wan Chai,Morrison Building,26/12/2022,
Wan Chai,Kam Fook Mansion,26/12/2022,
Wan Chai,Aurizon,26/12/2022,
Wan Chai,"Block C, Dragon Court",26/12/2022,
Wan Chai,Dragon View,26/12/2022,
Wan Chai,Arts Mansion,26/12/2022,
Wan Chai,Hong Kong Building,26/12/2022,
Wan Chai,458 Lockhart Road,26/12/2022,
Wan Chai,The Morrison,26/12/2022,
Wan Chai,Gold King Mansion,26/12/2022,
Wan Chai,Lily Mansion,26/12/2022,
Wan Chai,"Tower 1, Dragon Centre",26/12/2022,
Wan Chai,Capital Building,25/12/2022,
Wan Chai,"Block B, Kingston Building",25/12/2022,
Wan Chai,Yien Man Building,25/12/2022,
Wan Chai,Paul Yee Mansion,25/12/2022,
Wan Chai,Kiu Hong Mansion,25/12/2022,
Wan Chai,Siu Fung Building,25/12/2022,
Wan Chai,Kung On Mansion,25/12/2022,
Wan Chai,Victoria Mansion,25/12/2022,
Wan Chai,Newman House,25/12/2022,
Wan Chai,Lee Cheong Building,25/12/2022,
Wan Chai,Kai Ming Building,25/12/2022,
Wan Chai,Cleveland Mansion,25/12/2022,
Wan Chai,6 Purves Road,25/12/2022,
Wan Chai,Hiap Teck Building,25/12/2022,
Wan Chai,Claymore Lodge,25/12/2022,
Wan Chai,"Block A, Greenville Gardens",25/12/2022,
Wan Chai,Clarke Mansion,25/12/2022,
Wan Chai,Kelly House,25/12/2022,
Wan Chai,150 Kennedy Road,25/12/2022,
Wan Chai,Kenny Court,25/12/2022,
Wan Chai,Trafalgar Court,25/12/2022,
Wan Chai,Tai Kwun Mansion,25/12/2022,
Wan Chai,Envoy Garden,25/12/2022,
Wan Chai,Regal Hongkong Hotel,25/12/2022,
Wan Chai,Po Foo Building,25/12/2022,
Wan Chai,Po Hon Building,25/12/2022,
Wan Chai,Po Wah Court,25/12/2022,
Wan Chai,The Zenith,25/12/2022,
Wan Chai,Shan Kwong Court,25/12/2022,
Wan Chai,Village Tower,25/12/2022,
Wan Chai,Kwong On Building,25/12/2022,
Wan Chai,Kwong Wing House,25/12/2022,
Wan Chai,Diamond Building,25/12/2022,
Wan Chai,9 Sing Woo Road,25/12/2022,
Wan Chai,Man Hee Mansion,25/12/2022,
Wan Chai,Man Yuen Garden,25/12/2022,
Wan Chai,New Spring Garden Mansion,25/12/2022,
Wan Chai,Sun Tao Building,25/12/2022,
Wan Chai,Sun Fung Mansion,25/12/2022,
Wan Chai,Ming Sun Building,25/12/2022,
Wan Chai,The Signature,25/12/2022,
Wan Chai,Chiu Hin Mansion,25/12/2022,
Wan Chai,"Block C, Evergreen Villa",25/12/2022,
Wan Chai,"Tower 5, The Pavilia Hill",25/12/2022,
Wan Chai,The Park Lane Hong Kong,25/12/2022,
Wan Chai,Suncrest Tower,25/12/2022,
Wan Chai,Broadwood Twelve,25/12/2022,
Wan Chai,Hyde Park Mansion,25/12/2022,
Wan Chai,Riviera Mansion,25/12/2022,
Wan Chai,Hoi Hing Building,25/12/2022,
Wan Chai,"Tower 1, Hoover",25/12/2022,
Wan Chai,Hoi To Court,25/12/2022,
Wan Chai,58 Jardine's Crescent,25/12/2022,
Wan Chai,"Tower 3, The Legend At Jardine's Lookout",25/12/2022,
Wan Chai,Hotel Indigo Hong Kong Island,25/12/2022,
Wan Chai,Moon Fair Mansion,25/12/2022,
Wan Chai,Chak Tong Building,25/12/2022,
Wan Chai,"Block C, Causeway Centre",25/12/2022,
Wan Chai,Timmar Court,25/12/2022,
Wan Chai,111 Mount Butler Road,25/12/2022,
Wan Chai,Dragon Rise,25/12/2022,
Wan Chai,8 Perkins Road,25/12/2022,
Wan Chai,"Block C, Paterson Building",25/12/2022,
Wan Chai,91 Queen's Road East,25/12/2022,
Wan Chai,Fook Hing Court,25/12/2022,
Wan Chai,Fook Wah Mansion,25/12/2022,
Wan Chai,Leishun Court,25/12/2022,
Wan Chai,Lei Ha Court,25/12/2022,
Wan Chai,Lei Wen Court,25/12/2022,
Wan Chai,"Tower 3, The Leighton Hill",25/12/2022,
Wan Chai,"Tower 6, The Leighton Hill",25/12/2022,
Wan Chai,Sau Wah Court,25/12/2022,
Wan Chai,Lap Hing Building,25/12/2022,
Wan Chai,The Altitude,25/12/2022,
Wan Chai,Wai Sun Building,25/12/2022,
Wan Chai,Supernova Stand,25/12/2022,
Wan Chai,The Henley,25/12/2022,
Wan Chai,51 King's Road,25/12/2022,
Wan Chai,214-216 Johnston Road,25/12/2022,
Wan Chai,48 Johnston Road,25/12/2022,
Wan Chai,Chuang's On The Park,25/12/2022,
Wan Chai,Vincent Mansion,25/12/2022,
Wan Chai,Best Western Hotel Causeway Bay,25/12/2022,
Wan Chai,"Green Villa, 155 Blue Pool Road",25/12/2022,
Wan Chai,21 Broom Road,25/12/2022,
Wan Chai,Stubbs Villa,25/12/2022,
Wan Chai,8 Cooper Road,25/12/2022,
Wan Chai,186 Hennessy Road,25/12/2022,
Wan Chai,459 Hennessy Road,25/12/2022,
Wan Chai,Kam Shing Building,25/12/2022,
Wan Chai,Silver Fair Mansion,25/12/2022,
Wan Chai,Kennedy Court,25/12/2022,
Wan Chai,Le Petit Rosedale Hotel Hong Kong,25/12/2022,
Wan Chai,Crowne Plaza Hong Kong Causeway Bay,25/12/2022,
Wan Chai,472 Lockhart Road,25/12/2022,
Wan Chai,"Block 3, Phoenix Court",25/12/2022,
Wan Chai,Cosmo Hotel,25/12/2022,
Wan Chai,7-9 Wong Nai Chung Road,25/12/2022,
Wan Chai,Dragon Peak,25/12/2022,
Wan Chai,"Tower 2, Dragon Centre",25/12/2022,
Wan Chai,The Hari Hong Kong,24/12/2022,
Wan Chai,Chung Nam Mansion,24/12/2022,
Wan Chai,Kwong Wah Mansion,24/12/2022,
Wan Chai,The Charterhouse,24/12/2022,
Wan Chai,"Block 4, Cavendish Heights",24/12/2022,
Wan Chai,One Wanchai,24/12/2022,
Wan Chai,Po Wing Building,24/12/2022,
Wan Chai,Sun Hey Mansion,24/12/2022,
Wan Chai,Cheong Ip Building,24/12/2022,
Wan Chai,Ming Tak Mansion,24/12/2022,
Wan Chai,25 King Kwong Street,24/12/2022,
Wan Chai,East South Building,24/12/2022,
Wan Chai,"Block B, Villa Lotto",24/12/2022,
Wan Chai,"Block C, Villa Lotto",24/12/2022,
Wan Chai,Yanville,24/12/2022,
Wan Chai,Empire Hotel,24/12/2022,
Wan Chai,Fuk Lee Building,24/12/2022,
Wan Chai,Jet Foil Mansion,24/12/2022,
Wan Chai,Hawthorn Garden,24/12/2022,
Wan Chai,Salson House,24/12/2022,
Wan Chai,The Grandeur,24/12/2022,
Wan Chai,Kam Kwong Mansion,24/12/2022,
Wan Chai,Silver Star Court,24/12/2022,
Wan Chai,Jones Hive,24/12/2022,
Wan Chai,The St. Regis Hong Kong,24/12/2022,
Wan Chai,"Block 5, Phoenix Court",24/12/2022,
Wan Chai,Eight Kwai Fong,23/12/2022,
Wan Chai,Pao Woo Mansion,23/12/2022,
Wan Chai,Sunrise Court,23/12/2022,
Wan Chai,Gardenview Heights,23/12/2022,
Wan Chai,"Block C, Greenville Gardens",23/12/2022,
Wan Chai,"Block 2, Cavendish Heights",23/12/2022,
Wan Chai,"Winway Court, 3 Tai Hang Road",23/12/2022,
Wan Chai,Po Chi Building,23/12/2022,
Wan Chai,Jade House,23/12/2022,
Wan Chai,Chin Hung Building,23/12/2022,
Wan Chai,Hang Po Building,23/12/2022,
Wan Chai,Tung Po Building,23/12/2022,
Wan Chai,"Block E, Beverly Hill",23/12/2022,
Wan Chai,Wing Fai Building,23/12/2022,
Wan Chai,Hoi Shing Building,23/12/2022,
Wan Chai,Hoi Kung Court,23/12/2022,
Wan Chai,Hoi Kok Mansion,23/12/2022,
Wan Chai,The Warren,23/12/2022,
Wan Chai,"Block 2, Swiss Towers",23/12/2022,
Wan Chai,"Block L, 111 Mount Butler Road",23/12/2022,
Wan Chai,"Block A, Paterson Building",23/12/2022,
Wan Chai,"Block B, Paterson Building",23/12/2022,
Wan Chai,Sheffield Garden,23/12/2022,
Wan Chai,Jade Terrace,23/12/2022,
Wan Chai,231 Jaffe Road,23/12/2022,
Wan Chai,Hennessy Road Court,23/12/2022,
Wan Chai,Kam Sing Mansion,23/12/2022,
Wan Chai,Causeway Bay Mansion,23/12/2022,
Wan Chai,Pinnacle Building,23/12/2022,
Wan Chai,Novotel Century Hong Kong,23/12/2022,
Wan Chai,Rialto Building,23/12/2022,
Wan Chai,"Block A, Kingston Building",22/12/2022,
Wan Chai,King Tao Building,22/12/2022,
Wan Chai,Southorn Mansion,22/12/2022,
Wan Chai,Mira Moon,22/12/2022,
Wan Chai,Sze Bo Building,22/12/2022,
Wan Chai,Regent Hill,22/12/2022,
Wan Chai,Tak Fung House,22/12/2022,
Wan Chai,"Block A, Elm Tree Towers",22/12/2022,
Wan Chai,City Mansion,22/12/2022,
Wan Chai,22 School Street,22/12/2022,
Wan Chai,Tung Shan Villa,22/12/2022,
Wan Chai,"Block B, Lok Sing Centre",22/12/2022,
Wan Chai,Fortuna Court,22/12/2022,
Wan Chai,Ernest Court,22/12/2022,
Wan Chai,"Block 2, Wing On Towers",22/12/2022,
Wan Chai,Vincent Mansion,22/12/2022,
Wan Chai,"Tower I, The Legend At Jardine's Lookout",22/12/2022,
Wan Chai,"Block B, Nicholson Tower",22/12/2022,
Wan Chai,Diamond Mansion,22/12/2022,
Wan Chai,Kew Green Hotel Wanchai Hong Kong,22/12/2022,
Wan Chai,Panny Court,22/12/2022,
Wan Chai,Rita House,22/12/2022,
Wong Tai Sin,40 Yan Oi Street,28/12/2022,
Wong Tai Sin,The Forest Hills,28/12/2022,
Wong Tai Sin,"Block 1, Kai Tak Garden",28/12/2022,
Wong Tai Sin,"Block 2, Kai Tak Garden",28/12/2022,
Wong Tai Sin,"Block 4, Kai Tak Garden",28/12/2022,
Wong Tai Sin,"Block 5, Kai Tak Garden",28/12/2022,
Wong Tai Sin,"Kai Wang House, Kai Chuen Court",28/12/2022,
Wong Tai Sin,"Kai Chun House, Kai Chuen Court",28/12/2022,
Wong Tai Sin,Kellie Mansion,28/12/2022,
Wong Tai Sin,"Block 1, Kingsford Terrace",28/12/2022,
Wong Tai Sin,"Block 2, Kingsford Terrace",28/12/2022,
Wong Tai Sin,"Block 3, Kingsford Terrace",28/12/2022,
Wong Tai Sin,"Block 4, Kingsford Terrace",28/12/2022,
Wong Tai Sin,"Block 5, Kingsford Terrace",28/12/2022,
Wong Tai Sin,"Ka Wui House, Ka Keung Court",28/12/2022,
Wong Tai Sin,"Ka Ying House, Ka Keung Court",28/12/2022,
Wong Tai Sin,"Wang King House, Tin Wang Court",28/12/2022,
Wong Tai Sin,"Wang Yuen House, Tin Wang Court",28/12/2022,
Wong Tai Sin,"Chun Wai House, Tin Ma Court",28/12/2022,
Wong Tai Sin,"Chun On House, Tin Ma Court",28/12/2022,
Wong Tai Sin,"Chun Hong House, Tin Ma Court",28/12/2022,
Wong Tai Sin,"Chun Sing House, Tin Ma Court",28/12/2022,
Wong Tai Sin,"Chun Fei House, Tin Ma Court",28/12/2022,
Wong Tai Sin,Yue Yee Mansion,28/12/2022,
Wong Tai Sin,"Block 1, Bay View Garden",28/12/2022,
Wong Tai Sin,"Block 2, Bay View Garden",28/12/2022,
Wong Tai Sin,On Lee Building,28/12/2022,
Wong Tai Sin,"Tower 1, Grand View Garden",28/12/2022,
Wong Tai Sin,"Tower 2, Grand View Garden",28/12/2022,
Wong Tai Sin,"Tower 3, Grand View Garden",28/12/2022,
Wong Tai Sin,"Tower 4, Grand View Garden",28/12/2022,
Wong Tai Sin,"Tower 5, Grand View Garden",28/12/2022,
Wong Tai Sin,"Tower 6, Grand View Garden",28/12/2022,
Wong Tai Sin,"Fu Yan House, Fu Shan Estate",28/12/2022,
Wong Tai Sin,"Fu Shun House, Fu Shan Estate",28/12/2022,
Wong Tai Sin,"Fu Fai House, Fu Shan Estate",28/12/2022,
Wong Tai Sin,"Fu Wo House, Fu Keung Court",28/12/2022,
Wong Tai Sin,"Fu Ning House, Fu Keung Court",28/12/2022,
Wong Tai Sin,"Fu Hong House, Fu Keung Court",28/12/2022,
Wong Tai Sin,"Fu Yat House, Fu Keung Court",28/12/2022,
Wong Tai Sin,"Fu Nga House, Fu Keung Court",28/12/2022,
Wong Tai Sin,Po Tsui Mansion,28/12/2022,
Wong Tai Sin,"Tower 3, Aria",28/12/2022,
Wong Tai Sin,"Block A, Shung Ling Building",28/12/2022,
Wong Tai Sin,Regent On The Hill,28/12/2022,
Wong Tai Sin,Hong Keung Court,28/12/2022,
Wong Tai Sin,Choi Fung Court,28/12/2022,
Wong Tai Sin,"Tan Fung House, Choi Hung Estate",28/12/2022,
Wong Tai Sin,"Pak Suet House, Choi Hung Estate",28/12/2022,
Wong Tai Sin,"Pik Hoi House, Choi Hung Estate",28/12/2022,
Wong Tai Sin,"Hung Ngok House, Choi Hung Estate",28/12/2022,
Wong Tai Sin,"Luk Ching House, Choi Hung Estate",28/12/2022,
Wong Tai Sin,"Kam Hon House, Choi Hung Estate",28/12/2022,
Wong Tai Sin,"Kam Pik House, Choi Hung Estate",28/12/2022,
Wong Tai Sin,"Kam Wan House, Choi Hung Estate",28/12/2022,
Wong Tai Sin,"Choi Yip House, Choi Fai Estate",28/12/2022,
Wong Tai Sin,"Kai Fai House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Yat Yuet House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Ming Lai House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Sing San House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Sze Yu House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"King San House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Yau Lung House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Yok Yu House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Yuk Lun House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"King Kung House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Pak Hung House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Pak Fung House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Koon Yat House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Fung Chak House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Ngan Ho House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Cheung Bor House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,"Fei Fung House, Choi Wan Estate",28/12/2022,
Wong Tai Sin,Billionnaire Royale,28/12/2022,
Wong Tai Sin,"Tak Wa House, Tak Keung Court",28/12/2022,
Wong Tai Sin,"Tak Yin House, Tak Keung Court",28/12/2022,
Wong Tai Sin,"Block 1, Bel Air Heights",28/12/2022,
Wong Tai Sin,"Block 2, Bel Air Heights",28/12/2022,
Wong Tai Sin,"On Hong House, Tsz On Court",28/12/2022,
Wong Tai Sin,"On Yan House, Tsz On Court",28/12/2022,
Wong Tai Sin,"Hong Kin House, Tsz Hong Estate",28/12/2022,
Wong Tai Sin,"Hong Tak House, Tsz Hong Estate",28/12/2022,
Wong Tai Sin,"Hong Tim House, Tsz Hong Estate",28/12/2022,
Wong Tai Sin,"Hong Sau House, Tsz Hong Estate",28/12/2022,
Wong Tai Sin,"Oi Yan House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Kan House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Fu House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Ning House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Hong House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Wing House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Cheung House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Chung House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Wah House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Oi Yin House, Tsz Oi Court",28/12/2022,
Wong Tai Sin,"Lok Yan House, Tsz Lok Estate",28/12/2022,
Wong Tai Sin,"Lok Shun House, Tsz Lok Estate",28/12/2022,
Wong Tai Sin,"Lok Hop House, Tsz Lok Estate",28/12/2022,
Wong Tai Sin,"Lok Tin House, Tsz Lok Estate",28/12/2022,
Wong Tai Sin,"Lok Wong House, Tsz Lok Estate",28/12/2022,
Wong Tai Sin,"Lok Foon House, Tsz Lok Estate",28/12/2022,
Wong Tai Sin,"Lok Moon House, Tsz Lok Estate",28/12/2022,
Wong Tai Sin,"Lok Cheung House, Tsz Lok Estate",28/12/2022,
Wong Tai Sin,"Ching Wo House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching On House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching Hong House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching Tak House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching Yi House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching Yuk House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching Ming House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching Fai House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching Tai House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Ching Yuen House, Tsz Ching Estate",28/12/2022,
Wong Tai Sin,"Man Kin House, Tsz Man Estate",28/12/2022,
Wong Tai Sin,"Man Tai House, Tsz Man Estate",28/12/2022,
Wong Tai Sin,"Man Yue House, Tsz Man Estate",28/12/2022,
Wong Tai Sin,Che Cheung Building,28/12/2022,
Wong Tai Sin,Che Wah Building,28/12/2022,
Wong Tai Sin,San Po Kong Mansion,28/12/2022,
Wong Tai Sin,"Block 2, San Po Kong Plaza",28/12/2022,
Wong Tai Sin,"Block C, Sun Lai Garden",28/12/2022,
Wong Tai Sin,"Tower A, Galaxia",28/12/2022,
Wong Tai Sin,"Tower B, Galaxia",28/12/2022,
Wong Tai Sin,"Tower C, Galaxia",28/12/2022,
Wong Tai Sin,"Tower D, Galaxia",28/12/2022,
Wong Tai Sin,"Tower E, Galaxia",28/12/2022,
Wong Tai Sin,King Tai Court,28/12/2022,
Wong Tai Sin,"Block 1, Scenic View",28/12/2022,
Wong Tai Sin,"Block 2, Scenic View",28/12/2022,
Wong Tai Sin,"Block 3, Scenic View",28/12/2022,
Wong Tai Sin,"Wui Yan House, Tung Wui Estate",28/12/2022,
Wong Tai Sin,"Wui Sum House, Tung Wui Estate",28/12/2022,
Wong Tai Sin,"Wui Chi House, Tung Wui Estate",28/12/2022,
Wong Tai Sin,"On Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Fu Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Chun Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Wong Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Pak Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Yan Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Tai Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Ying Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Cheung Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Yiu Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,"Yue Tung House, Tung Tau Estate",28/12/2022,
Wong Tai Sin,Blissful Villa,28/12/2022,
Wong Tai Sin,"Wang Hong House, Lok Fu Estate",28/12/2022,
Wong Tai Sin,"Wang Yat House, Lok Fu Estate",28/12/2022,
Wong Tai Sin,"Lok Man House, Lok Fu Estate",28/12/2022,
Wong Tai Sin,"Lok Tai House, Lok Fu Estate",28/12/2022,
Wong Tai Sin,"Lok Him House, Lok Fu Estate",28/12/2022,
Wong Tai Sin,"Wang Leung House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Wai House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Kwong House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Kei House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Fu House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Tak House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Fai House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Chak House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Chiu House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Cho House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Lai House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Yiu House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wang Chung House, Wang Tau Hom Estate",28/12/2022,
Wong Tai Sin,"Wo Tin House, Shatin Pass Estate",28/12/2022,
Wong Tai Sin,"Shun Tin House, Shatin Pass Estate",28/12/2022,
Wong Tai Sin,"Block 1, Hill Top Gardens",28/12/2022,
Wong Tai Sin,"Block 2, Hill Top Gardens",28/12/2022,
Wong Tai Sin,"Block 3, Hill Top Gardens",28/12/2022,
Wong Tai Sin,"Tower 1, Fire Services Department Wing Ting Road Fire Services Married Quarters",28/12/2022,
Wong Tai Sin,"Tower 2, Fire Services Department Wing Ting Road Fire Services Married Quarters",28/12/2022,
Wong Tai Sin,"Block B, Fire Services Department Wong Tai Sin Rank And File Married Quarters",28/12/2022,
Wong Tai Sin,"Tower 1, Lions Rise",28/12/2022,
Wong Tai Sin,"Tower 2, Lions Rise",28/12/2022,
Wong Tai Sin,"King Fung House, King Shan Court",28/12/2022,
Wong Tai Sin,"King Wai House, King Shan Court",28/12/2022,
Wong Tai Sin,"King Yiu House, King Shan Court",28/12/2022,
Wong Tai Sin,"King Pik House, King Shan Court",28/12/2022,
Wong Tai Sin,King Hin Court,28/12/2022,
Wong Tai Sin,"King Cheong House, King Lai Court",28/12/2022,
Wong Tai Sin,"King Tai House, King Lai Court",28/12/2022,
Wong Tai Sin,Ying Fuk Court,28/12/2022,
Wong Tai Sin,"Chung Yuen House, Chuk Yuen North Estate",28/12/2022,
Wong Tai Sin,"Toa Yuen House, Chuk Yuen North Estate",28/12/2022,
Wong Tai Sin,"Tung Yuen House, Chuk Yuen North Estate",28/12/2022,
Wong Tai Sin,"Mui Yuen House, Chuk Yuen North Estate",28/12/2022,
Wong Tai Sin,"Yung Yuen House, Chuk Yuen North Estate",28/12/2022,
Wong Tai Sin,"Cheung Yuen House, Chuk Yuen North Estate",28/12/2022,
Wong Tai Sin,"Wai Yuen House, Chuk Yuen North Estate",28/12/2022,
Wong Tai Sin,"Fu Yuen House, Chuk Yuen South Estate",28/12/2022,
Wong Tai Sin,"Wing Yuen House, Chuk Yuen South Estate",28/12/2022,
Wong Tai Sin,"Sau Yuen House, Chuk Yuen South Estate",28/12/2022,
Wong Tai Sin,"Wah Yuen House, Chuk Yuen South Estate",28/12/2022,
Wong Tai Sin,"Kwai Yuen House, Chuk Yuen South Estate",28/12/2022,
Wong Tai Sin,"Nga Yuen House, Chuk Yuen South Estate",28/12/2022,
Wong Tai Sin,"Mei Yan House, Mei Tung Estate",28/12/2022,
Wong Tai Sin,"Mei Tak House, Mei Tung Estate",28/12/2022,
Wong Tai Sin,"Block 10, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 13, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 1, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 2, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 3, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 4, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 5, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 7, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 8, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,"Block 9, Tsui Chuk Garden",28/12/2022,
Wong Tai Sin,Luen Hop Building,28/12/2022,
Wong Tai Sin,Wah Kay House,28/12/2022,
Wong Tai Sin,Man Po Building,28/12/2022,
Wong Tai Sin,Manning Theatre Building,28/12/2022,
Wong Tai Sin,Man Yue Mansion,28/12/2022,
Wong Tai Sin,Yue Fu Mansion,28/12/2022,
Wong Tai Sin,"Tower 7, The Latitude",28/12/2022,
Wong Tai Sin,"Tower 8, The Latitude",28/12/2022,
Wong Tai Sin,"Block 1, Fung Shing Street Disciplined Services Quarters",28/12/2022,
Wong Tai Sin,"Block 2, Fung Shing Street Disciplined Services Quarters",28/12/2022,
Wong Tai Sin,"Block 3, Fung Shing Street Disciplined Services Quarters",28/12/2022,
Wong Tai Sin,"Block 2, Tropicana Gardens",28/12/2022,
Wong Tai Sin,"Block 3, Tropicana Gardens",28/12/2022,
Wong Tai Sin,"Sau Ming Court, Yue Xiu Plaza",28/12/2022,
Wong Tai Sin,"Block 10, Rhythm Garden",28/12/2022,
Wong Tai Sin,"Block 11, Rhythm Garden",28/12/2022,
Wong Tai Sin,"Block 1, Rhythm Garden",28/12/2022,
Wong Tai Sin,"Block 2, Rhythm Garden",28/12/2022,
Wong Tai Sin,"Block 3, Rhythm Garden",28/12/2022,
Wong Tai Sin,"Block 4, Rhythm Garden",28/12/2022,
Wong Tai Sin,"Block 5, Rhythm Garden",28/12/2022,
Wong Tai Sin,"Block 7, Rhythm Garden",28/12/2022,
Wong Tai Sin,"Block 8, Rhythm Garden",28/12/2022,
Wong Tai Sin,Kam Kwok Building,28/12/2022,
Wong Tai Sin,Aspen Crest,28/12/2022,
Wong Tai Sin,Evergreen Towers,28/12/2022,
Wong Tai Sin,Pentahotel Hong Kong Kowloon,28/12/2022,
Wong Tai Sin,Comme House,28/12/2022,
Wong Tai Sin,"Ban Fung House, Fung Tak Estate",28/12/2022,
Wong Tai Sin,"Chu Fung House, Fung Tak Estate",28/12/2022,
Wong Tai Sin,"Pik Fung House, Fung Tak Estate",28/12/2022,
Wong Tai Sin,"Tsz Fung House, Fung Tak Estate",28/12/2022,
Wong Tai Sin,"Ngan Fung House, Fung Tak Estate",28/12/2022,
Wong Tai Sin,"Suet Fung House, Fung Tak Estate",28/12/2022,
Wong Tai Sin,"Toi Fung House, Fung Tak Estate",28/12/2022,
Wong Tai Sin,Fung Cheung House,28/12/2022,
Wong Tai Sin,"Fung Yan House, Fung Lai Court",28/12/2022,
Wong Tai Sin,"Fung Hei House, Fung Lai Court",28/12/2022,
